a_lyric;a_music;lyric;title
" Francisco Canaro / Luis 
Riccardi Letra: Juan Andrés Caruso";"Francisco Canaro / Luis 
Riccardi Letra: Juan Andrés Caruso";Todo el mundo tiene el bien de aconsejarme como a pibe que ha faltado a sus deberes. Me aconsejan que debía de cuidarme y no ven que es suicidarme renunciar a mis placeres. Me aconsejan que no gaste, que no chupe, que no juegue ni una ficha a la ruleta y que guarde lo que el viejo me dejó. Pero yo quiero el escabio y las pebetas, ¡lo demás son fantasía del poeta Campoamor! A mí no me den consejos, ¡Denme plata, mucha plata! Quiero derrochar la vida gozando mi juventud. A mí no me den consejos, déjenme de esas macanas. ¡Qué me importa del mañana, si hoy soy, con plata y salud, más feliz que bataclana que ha triunfado en su debut! Yo conozco más de cuatro que con vento pretendieron llevar una vida seria, los cacharon, ahí nomás p'al casamiento, y, a pesar de todo el vento, pasan vida de miseria. Yo no soy un candidato p'al casorio, y me siento muy feliz y acomodado con los miles que de los viejos heredé. Y oigan bien: ¡Ya me tienen muy cansado los que dicen que algún día me voy a quedar de a pie! ;A mí no me den consejos
Enrique Cadícamo;Juan Carlos Cobián;En mi triste evocación surge el tiempo que se fue. ¡Cuántos años han pasado y parece que fuera ayer! ¿Dónde está la que amé? ¿Dónde está la que olvidé? El recuerdo me entristece y anochece en mi corazón. Viejo Palermo de entonces hoy regresas a mi mente. Cuántos amigos ausentes como yo recordarán... esas noches de verbena, esas noches de alegría, y este tango que se oía entre copas de champán... (Hablado) A pan y agua... Tango que viene de lejos a acariciar mis oídos como un recuerdo querido con melancólicos dejos. Tango querido de ayer, qué ventarrón te alejó. Junto con ella te has ido y hoy la trae tu evocación. ;A pan y agua
Enrique Cadícamo;Mariano Mores;Gime, bandoneón, grave y rezongón en la nocturna verbena. En mi corazón tu gangoso son hace más honda mi pena. Con tu viruta sentimental vas enredando mi viejo mal, un viejo mal que me ha dejado enamorado, arrinconado, y olvidado para siempre. Sin una sola caricia que mi tristeza mitigue su risa mala me persigue y me persigue, mientras sigue tu responso, ¡bandoneón! A quién le puede importar ¡che bandoneón! que he sido bueno. A quién le puede importar el novelón del mal ajeno. Si a ella que fue mi querer no le importó mi abatimiento. A quién le puede importar ¡che bandoneón! mi sufrimiento. Suena menos gris tango, para mí. Sé que jamás la encontraré. Te saldré a bailar para disfrazar el drama que llevo adentro. En otros brazos me engañaré, en otras bocas me aturdiré aunque sus ojos y su risa me persigan y me sigan y me digan que la quiero. Iré a borrar el fantasma de aquel amor siempre atento, así termina este lamento y el tormento de este cruento sufrimiento... ¡Bandoneón ! ;A quién le puede importar?
Homero Manzi (vals);Antonio Sureda;Hoy vuelves del recuerdo, madre mía, envuelta en la penumbra del pasado, trayendo la nostalgia de los días que en horas de placer hube olvidado. Y al ver que fue tu amor, tu amor perdido el único cariño sin engano, te llora más el corazón vencido y busca en el olvido tu palabra de perdón. En el silencio triste de mi fracaso, resuenan tus canciones, rondan tus pasos. Y siento que retornas pálida y buena, para borrar las penas de mi soledad. Y en el milagro extraño de ser tu niño, revivo la presencia de tu cariño. Perfume de tu pelo, luz de tus ojos, calor de tu consuelo, rumor de tu voz. Vendrás, siempre, vendrás, a consolar mi mal cuando mi cerrazón busque luz, cuando mi corazón te nombre más. Y sé que volverás la mano en bendición, trayendo tu perdón en un beso de paz. ;A su memoria
Ambrosio Río;Guillermo Barbieri;Vine al pie de tu vieja ventana, mi bien, a ofrecerte, mi vida este canto de amor, porque quiero que sepas que te amo, mi edén y te siento latir en mi fiel corazón. Yo quisiera, mujer, que comprendas el cariño tan leal que te tengo que me paso las horas pensando y es esa la causa que yo ya ni duermo. He traído del campo estas flores que ayer arrancaron mis manos con ansias por ti, porque quiero mirarte contenta, mujer, y mostrarte que yo moriría por ti. Si un intérprete fueras, entonces sentirías igual que yo siento, un amor tan extraño y tan dulce, aue al no realizarse sería un infierno. Asoma tu carita y no me hagas más sufrir, te lo pido por lo que más quieras, mi amor si al no verte sería capaz de morir de cariño quizá o de extraño dolor. Los culpables han sido tus ojos y tus labios los cómplices fueron, que me tienen igual que a un esclavo y soy si se quiere tu fiel prisionero. ;A tu ventana
Homero Manzi;Pedro Maffia;Llega el viento del recuerdo aquel al rincón de mi abandono y entre el polvo muerto del ayer también volvió tu querer. Yo no sé si vivirás feliz o si el mundo te ha vencido viviendo sin querer vivir buscás la paz de morir. Duda de tu ausencia y de mi culpa pena de tener que recordar sueño del pasado que me acusa manos que no quieren perdonar, dolor amigo de estar con tu sombra remordimiento de saberte buena dolor lejano de oír que te nombran las voces muertas que se obstinan en volver. Ya no sueño que retornarás al fracaso de mi vida ni tampoco que en tu palpitar tendré un afán para andar. Sólo quiero que si estás también en la cruz del abandono sepas olvidarme en su perdón... Total, mirá lo que soy. Pena de tu ausencia sin retorno pena de saber que no vendrás, pena de escuchar en mi abandono voces que me acusan al llegar. Dolor amigo de estar con tu sombra remordimiento de saberte buena dolor lejano de oír que te nombran las voces muertas del ayer feliz. ;Abandono
Homero Expósito (vals);Virgilio Expósito;Ayer estaba recordando tu casa... mi casa... ¡Portal donde la luna se aburrió esperando, cedrón por donde el tiempo se perfuma y pasa! Y al ver que nos pusimos viejos y estamos más solos, siento un vals en tu piano llorar y me pongo a pensar si no llora de amor. Era la era primera que apaga la ojera y enciende el rubor, y una noche -¿te acuerdas?- un beso debajo del cerezo sellaba nuestro amor. Pudo el amor ser un nudo mas dudo que pudo luchando vencer... Una casa era pobre, otra rica... Fácilmente se explica que no pudo ser. Así, por el recuerdo, lloro tu casa... mi casa... Tu amor, que está marchito en un estuche de oro mi amor, que al fin -de darse- se quedó sin brasas... Y al ver que nos pusimos viejos y todo fue en vano, siento un vals en tu piano llorar y me pongo a pensar si no llora de amor. ;Absurdo
C. Oreste;Roberto Díaz;"La querida viejecita se pasaba todo el día pensativa y silenciosa recostada en el sillón; blanco el rostro, el cabello y el batón que la vestía, semejaba una escultura puesta en la melancolia de un rincón del comedor. Sus tres nietos, los risueños, tres alegres angelitos, angelitos con la cara más esplendida que el sol; ellos solos la rodeaban de placeres infinitos cuando en torno de su silla la aturdian con sus gritos: Abuelita, ¡qué horas son! Todas, todas las mañanas al regreso de la escuela, cuando el golpe acompasado se escuchaba del reloj, los hermosos nietecitos con sus pasos de gacela se acercaban, y de pronto preguntaban a la abuela: . . . Abuelita, ¿qué horas son? Y a la tarde y a la noche siempre el mismo movimiento, siempre el mismo ruido hacian de la abuela en derredor y la buena viejecita no ocultaba su contento cada vez que los tres niños levantaban el acento: . . . Abuelita, ¿qué horas son? Hoy he visto a los tres niños que con luto en el vestido se entregaban a sus juegos, a aquel juego repetido y cantaban como antes... pero no escuchó mi oido: ... Abuelita, ¿qué horas son? Y apartándose de pronto el mayor de los hermanos, acercóse al rinconcito del oscuro comedor... Y al mirarlo tan vacío... tan igual a los arcanos, al reloj alzó sus ojos y juntando las dos manos sollozó junto al sillón. ";Abuelita, ¿qué hora son? 
" Alberto Laporte / Carlos 
Cabral Letra: Eduardo Trongé";"Alberto Laporte / Carlos 
Cabral Letra: Eduardo Trongé";"No tome más, abuelo, y deje el vino, no tome más Tatita, es una pena, que con la fiesta, abuelito, un vecino vino a esta mesa alegrando nuestras penas. No tome más y cuénteme esa historia, del tiempo aquel en que su amor vivía, que yo, esta vez, arrimándome a su silla lo escucharé quietecito y sin hablar. Y el pobre abuelo a mis ruegos ocultando sus pesares, me hizo sentar junto al fuego y de este modo me habló: Cierra la puerta, la luz apaga, que con las sombra viene mi amor. Esa que un día, hace ya tiempo, vistió de luto mi corazón. (recitado) Si vieras vos qué criolla de ojos negros, de altivo andar, risueña y juguetona, de blanca tez, cariñosa y comadrona, ah... clavel de amor florecido en mi recuerdo. Si vieras vos con qué ansias la quería, con cuánto amor hicimos nuestro nido... Pero una noche, la mano del destino se la llevó de mi lado junto a Dios. Hoy que me vencen los años, ya la muerte está en acecho; viejo, venciodo y maltrecho, siento que la quiero más. Ya sabe, nieto, la cruel herida que en esta vida supe ocultar. Así, una noche triste y de duelo, mi pobre abuelo me hizo llorar. ";Abuelito
Juan Carlos Marambio Catán;Horacio Pettorossi;"Es media noche. El cabaret despierta. Muchas mujeres, flores y champán. Va a comenzar la eterna y triste fiesta de los que viven al ritmo de un gotán. Cuarenta años de vida me encadenan, blanca la testa, viejo el corazón: hoy puedo ya mirar con mucha pena lo que otros tiempos miré con ilusión. Las pobres milongas, dopadas de besos, me miran extrañas, con curiosidad. Ya no me conocen: estoy solo y viejo, no hay luz en mis ojos... La vida se va... Un viejo verde que gasta su dinero emborrachando a Lulú con el champán hoy le negó el aumento a un pobre obrero que le pidió un pedazo más de pan. Aquella pobre mujer que vende flores y fue en mi tiempo la reina de Montmartre me ofrece, con sonrisa, unas violetas para que alegren, tal vez, mi soledad. Y pienso en la vida: las madres que sufren, los hijos que vagan sin techo ni pan, vendiendo ""La Prensa"", ganando dos guitas... ¡Qué triste es todo esto! ¡Quisiera llorar! ";Acquaforte
" Juan Carlos Ghio / Ramón 
Montes Letra: Ramón Montes / Juan Carlos Ghio
(vals)";"Juan Carlos Ghio / Ramón 
Montes Letra: Ramón Montes / Juan Carlos Ghio
(vals)";"Son tus ojos, Adelina, tan negros como mi suerte y en tu rostro se ve dibujada toda tu hermosura. Es tu acento, también adornado de luz y ternura; sos la imagen pura, que robó la calma de mi corazón. Contemplarte siempre es mi único anhelo, una mirada tuya es mi alegría. Estando lejos de ti me moriría de pena y de dolor. Yo comprendo demasiado que tu amor me es imposible; también comprendo que de tu corazón jamás seré dueño. Pero es tanto mi cariño que tu imagen veo, y te sueño y así me despierto creyéndote mía ¡qué dicha sería ser tu admirador! ";Adelina
Eladia Blázquez;Astor Piazzolla;"Desde una estrella al titilar... Me hará señales de acudir, por una luz de eternidad cuando me llame, voy a ir. A preguntarle, por ese niño que con su muerte, lo perdí, que con ""Nonino"" se me fue... Cuando me diga, ven aquí... Renaceré... Porque... ¡Soy...! la raíz, del país que amasó con su arcilla. ¡Soy...! Sangre y piel, del ""tano"" aquel, que me dio su semilla. Adiós ""Nonino"".. que largo sin vos, será el camino. ¡Dolor, tristeza, la mesa y el pan...! Y mi adiós.. ¡Ay! Mi adiós, a tu amor, tu tabaco, tu vino. ¿Quién..? Sin piedad, me robó la mitad, al llevarte ""Nonino""... Tal vez un día, yo también mirando atrás... Como vos, diga adiós ¡No va más..! Recitado: Y hoy mi viejo ""Nonino"" es una planta. Es la luz, es el viento y es el río... Este torrente mío lo suplanta, prolongando en mi ser, su desafío. Me sucedo en su sangre, lo adivino. Y presiento en mi voz, su propio eco. Esta voz que una vez, me sonó a hueco cuando le dije adiós Adiós ""Nonino"". ¡Soy...! La raíz, del país que amasó con su arcilla... ¡Soy...! Sangre y piel, del ""tano"" aquel, que me dio su semilla. Adiós ""Nonino""... Dejaste tu sol, en mi destino. Tu ardor sin miedo, tu credo de amor. Y ese afán... ¡Ay...! Tu afán por sembrar de esperanza el camino. Soy tu panal y esta gota de sal, que hoy te llora ""Nonino"". Tal vez el día que se corte mi piolín, te veré y sabré... Que no hay fin. ";Adiós Nonino
Héctor Sapelli;Luis Eduardo Etchegoncelay;"Adiós corazón... te decían los muchachos. Adiós corazón... aquel día dije yo. Y comenzaste a sonreir porque la frase te agradó y por las calles te seguí diciendo así, con emoción: Adiós corazón... si usted quiere conversamos; soñé con su amor... quiero ver qué hay de verdad. Y mi presencia te turbó: quedaste casi sin hablar cuando dijiste con tu adiós: ¡Hasta mañana, corazón! Adiós corazón... de tu mano va otra mano. Adiós corazón... quién pudiera ser tu amor. ¡Que nunca tengas que llorar! ¡Que no conozcas el dolor! Y que en tus ojos, el amor, viva radiante como hoy. Adiós corazón... si usted quiere conversamos; soñé con su amor... quiero ver qué hay de verdad. Y mi presencia te turbó: quedaste casi sin hablar cuando dijiste con tu adiós: ¡Hasta mañana, corazón! ";Adiós corazón
César Vedani;Julio César Sanders;Adiós, muchachos, compañeros de mi vida, barra querida de aquellos tiempos. Me toca a mí hoy emprender la retirada, debo alejarme de mi buena muchachada. Adiós, muchachos. Ya me voy y me resigno... Contra el destino nadie la talla... Se terminaron para mí todas las farras, mi cuerpo enfermo no resiste más... Acuden a mi mente recuerdos de otros tiempos, de los bellos momentos que antaño disfruté cerquita de mi madre, santa viejita, y de mi noviecita que tanto idolatré... ¿Se acuerdan que era hermosa, más bella que una diosa y que ebrio yo de amor, le di mi corazón, mas el Señor, celoso de sus encantos, hundiéndome en el llanto me la llevó? Es Dios el juez supremo. No hay quien se le resista. Ya estoy acostumbrado su ley a respetar, pues mi vida deshizo con sus mandatos al robarme a mi madre y a mi novia también. Dos lágrimas sinceras derramo en mi partida por la barra querida que nunca me olvidó y al darles, mis amigos, mi adiós postrero, les doy con toda mi alma mi bendición... ;Adiós muchachos
" Francisco Canaro / Mariano 
Mores Letra: Ivo Pelay";"Francisco Canaro / Mariano 
Mores Letra: Ivo Pelay";¡Adiós pampa mía!... Me voy... Me voy a tierras extrañas adiós, caminos que he recorrido, ríos, montes y cañadas, tapera donde he nacido. Si no volvemos a vernos, tierra querida, quiero que sepas que al irme dejo la vida. ¡Adiós!... Al dejarte, pampa mía, ojos y alma se me llenan con el verde de tus pastos y el temblor de las estrellas... Con el canto de tus vientos y el sollozar de vihuelas que me alegraron a veces, y otras me hicieron llorar. ¡Adiós pampa mía!... Me voy camino de la esperanza. Adiós, llanuras que he galopado, sendas, lomas y quebradas, lugares donde he soñado. Yo he de volver a tu suelo, cuando presienta que mi alma escapa como paloma hasta el cielo... ¡Adiós!... ¡Me voy, pampa mía!... ¡Adiós!... ;Adiós pampa mía
Homero Expósito;Atilio Stampone;Cruel en el cartel, la propaganda manda cruel en el cartel, y en el fetiche de un afiche de papel se vende la ilusión, se rifa el corazón... Y apareces tú vendiendo el último jirón de juventud, cargándome otra vez la cruz. ¡Cruel en el cartel, te ríes, corazón! ¡Dan ganas de balearse en un rincón! Ya da la noche a la cancel su piel de ojera... Ya moja el aire su pincel y hace con él la primavera... ¿Pero qué? si están tus cosas pero tú no estás, porque eres algo para todos, como un desnudo de vidriera... ¡Luché a tu lado, para ti, por Dios, y te perdí! Yo te di un hogar... ¡Siempre fui pobre, pero yo te di un hogar! Se me gastaron las sonrisas de luchar, luchando para ti, sangrando para ti... Luego la verdad, que es restregarse con arena el paladar y ahogarse sin poder gritar. Yo te di un hogar... -¡fue culpa del amor!- ¡Dan ganas de balearse en un rincón! ;Afiches
Emilio Magaldi (ranchera);Francisco Pracánico;"Mendigo errante, camino siempre y soy constante más que valiente; habrá ilusiones en mi camino peroo el destino me grita siempre. Afilador, para tu cariño hallar, dale que dale a la piedra, que con tantas chispas ya la encontrarás. Afilador, no abandones tu pedal, que girando en tantas vueltas desde alguna puerta ya te llamarán... Yo busco una prenda para compañera y si es que la encuentro le juro quererla; entonces mi vida sería más bella, porque ya no puedo vivir sin amor. Pero es difícil sacar partido; aunque he querido buscar amores, que saquen fuego, como es el fuego no valen piedras de corazones. ";Afilador
Fernán Silva Valdés;Ramón Collazo;Agua florida, vos eras criolla. Te usaban las pobres violetas del fango de peinados lisos, como agua'e laguna, cuando se bailaba alegrando el tango con un taconeo y una media luna. Perfume del tiempo taura que pasó, pues todo en la vida ha de ser así, cuando las percantas mentían que no mientras las enaguas batían que sí. Chinas sencillas y querendonas, que al son de las acordeonas bailaban un milongón. Chinas que oliendo a agua florida se metían en la vida a punta de corazón. Agua florida vos eras criolla. De cuando una viola tocaba de prima y otras las cuarteaban dando a las bordonas, y un ramo de taitas era cada esquina y la vida era linda y guapetona. Vos eras del tiempo del gacho ladeao, de la mina airosa anclada al bulín, del lazo en el pelo, del percal floreao y de la academia y el peringundín. ;Agua florida
Eduardo Giorlandini;Edmundo Rivero;"La laburó de guapo, piolamente, y la milonguera, su caro berretín, ñapada postamente en su bulín, rejunó cayetana el expediente. Era una naifa piya y cadenera que andaba con la yuta cabreiroa; con prontuario a la gurda, sobradora, y una pintusa de percanta buena. Él, que había sido un liso bien cheronca, un caferata de tapín y escuela, perdió su cancha laburando, ¡oi'dioca!, de colchonero y refilando tela. Tanto amó el longipietro a la taquera que aguantiñó, cabrero, que la barra nochera lo llamara, por pamela y por merlo mishé, Aguja Brava. Y así terminó un piola, Aguja Brava, que por amor quedó cardando lana. Antes, sacaba tela de las minas y ahora le hace colchones a la cana. ";Aguja brava
Carlos Giampetruzzi (Giampé);Armando Baliotti;Te perdiste del rincón natal tras un sueño de distancia, sin pensar que allá quedaban los seres que te amaban y yo con mi inconstancia. Agonía de vivir sin vos o morir en un camino. Y me marché dejando atrás la maldición sobre los dos y este es el pago que me das. Ahora no me conocés, me borró tu ingratitud. Aunque dejes mi alma trunca no podrás olvidar nunca lo de nuestra juventud. Algún día llorarás, todo el daño que me hacés. Te busqué sin darme paz, por cariño, nada más y ahora, no me conocés. No se juega con un corazón, como vos lo haces conmigo. No pongas el gesto huraño, buscarte fue mi engaño y hallarte, mi castigo. Yo no sé como podés fingir este asombro en mi presencia, yo que soñaba esta ocasión, te vi pasar, te oí reír y se hizo trizas mi ilusión. ;Ahora no me conocés
Osvaldo Sosa Cordero;Juan Canaro;Con llanto 'e bandoneón sangraba un corazón... Y su lamento rodó en la noche con un derroche de sentimiento... Del fuelle al rezongar se puso así a cantar: Huérfano y triste, sin tu cariño, igual que un niño m'echo a llorar... Tiempo que pasó dulce ayer. ¿Quién me arrebató tus caricias, mujer? Hoy, al verme así, tras aquel soñar, triste es mi despertar. Jamás podré olvidar cuando te vi cruzar por mi camino, triunfante y bella, la tarde aquella en que el destino nos enfrentó a los dos. Y, de una dicha en pos, hallé en la gloria de tus pupilas dulces, tranquilas, un don de Dios. ;Ahí va el dulce
Oscar Rubens;Alberto Suárez Villanueva;Dejate de locuras, muchacho, pensá bien lo que haces. Me han dicho que te han visto borracho Llorando por una mujer... ¡Como el dolor te ha cambiado, que ya no sos el de ayer! Volvé pa' la milonga, que un fuelle rezonga como llamándote. Al compás de un tango la habrás de olvidar, con una pebeta que sepa bailar, una piba buena que, al mirar tus ojos, comprenda la pena de tu corazón. Al compás de un tango habrás de encontrar a esa mujercita sincera y leal, y veras, un día, lleno de alegría a la que lloraste ni recordarás. Dejate de locuras, muchacho, tenés que reaccionar. El hombre debe ser de quebracho pa' resistir el mal. Si esa mujer te ha hecho daño perderla ha sido mejor. Volvé pa' la milonga, que un fuelle rezonga, pa' darte más valor. ;Al compás de un tango
